Provider_Clean,ContractTitle_Clean,ContractNumber_Clean,Year,AnnualForecastSpend
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025,30795991.022954497
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026,29717250.17793596
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027,28637218.57808266
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028,27051815.194278255
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029,26699415.239452627
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2030,25620674.322553627
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2031,1558057.8161163968
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2025,29721076.202855043
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2026,29200076.001834497
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2027,28678574.107614722
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2028,28666210.554448977
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2029,27666503.82337683
Citywide Service Solutions Pty Ltd,Civil infrastructure services,3665,2030,27145503.774623185
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2025,30837991.832879182
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2026,30255646.799039826
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2027,29671827.32143578
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2028,27827740.290803496
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2029,28713068.572584897
Citywide Service Solutions Pty Ltd,Open spaces management - region 1,3676,2030,28130702.719756216
Citywide Service Solutions Pty Ltd,Tree management maintenance services,3678,2025,30208107.988353018
Citywide Service Solutions Pty Ltd,Tree management maintenance services,3678,2026,29276775.199350037
Citywide Service Solutions Pty Ltd,Tree management maintenance services,3678,2027,28346547.307706326
Citywide Service Solutions Pty Ltd,Tree management maintenance services,3678,2028,27891409.56551967
Citywide Service Solutions Pty Ltd,Tree management maintenance services,3678,2029,26055941.28053682
Citywide Service Solutions Pty Ltd,Tree management maintenance services,3678,2030,25124608.346127395
Citywide Service Solutions Pty Ltd,Tree management maintenance services,3678,2031,2213329.5082851592
Cleanaway Waste Management Limited,Waste management services,3556,2025,29170989.34046172
Cleanaway Waste Management Limited,Waste management services,3556,2026,29189823.109502662
Cleanaway Waste Management Limited,Waste management services,3556,2027,29206224.389639016
Cleanaway Waste Management Limited,Waste management services,3556,2028,27950425.734552123
Cleanaway Waste Management Limited,Waste management services,3556,2029,29120519.198036153
Cleanaway Waste Management Limited,Waste management services,3556,2030,29139352.981622536
Menzies International (Aust) Pty Ltd,Building cleaning services,3634,2025,28755793.11989799
Menzies International (Aust) Pty Ltd,Building cleaning services,3634,2026,29246969.222303584
Menzies International (Aust) Pty Ltd,Building cleaning services,3634,2027,29740492.872852173
Menzies International (Aust) Pty Ltd,Building cleaning services,3634,2028,31423413.685085166
Menzies International (Aust) Pty Ltd,Building cleaning services,3634,2029,30746939.843848314
Menzies International (Aust) Pty Ltd,Building cleaning services,3634,2030,31238138.354593076
National Protective Services Pty Ltd,Integrated security services,3686,2025,31555822.374010563
National Protective Services Pty Ltd,Integrated security services,3686,2026,30083142.87991788
National Protective Services Pty Ltd,Integrated security services,3686,2027,28609032.72240827
National Protective Services Pty Ltd,Integrated security services,3686,2028,26000396.08702317
National Protective Services Pty Ltd,Integrated security services,3686,2029,25717735.949510798
National Protective Services Pty Ltd,Integrated security services,3686,2030,24245035.30229873
National Protective Services Pty Ltd,Integrated security services,3686,2031,1366006.6741785267
Nationwide Towing Services,Vehicle tow away and impound services,3585,2025,30775396.784436177
Nationwide Towing Services,Vehicle tow away and impound services,3585,2026,30357831.97536727
Nationwide Towing Services,Vehicle tow away and impound services,3585,2027,29938141.84257381
Nationwide Towing Services,Vehicle tow away and impound services,3585,2028,28933150.410235196
Nationwide Towing Services,Vehicle tow away and impound services,3585,2029,29268175.501529478
