InvoiceID,FailedFields,ModifiedFields,Provider_Clean,InvoiceAmount_Clean,InvoiceDate_Clean,ContractTitle_Clean,ContractNumber_Clean
INV10001,['ContractNumber'],"['Provider', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,81766.04,2028-12-10,Parking technology services,3623
INV10002,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Reino International Pty Ltd T/A Duncan Solutions,69421.46,2028-01-20,Parking technology services,3623
INV10003,['ContractNumber'],['InvoiceDate'],SERCO,139630.4,2028-05-03,Open spaces management - region 2, 
INV10004,['ContractNumber'],"['Provider', 'InvoiceDate']",Nationwide Towing Services,188101.91,2026-03-31,Vehicle tow away and impound services,3585
INV10005,['ContractNumber'],"['Provider', 'InvoiceDate']",Showtime Event Group Pty Ltd,186091.79,2025-12-23,Melbourne Town Hall venue management,3670
INV10006,['ContractNumber'],"['Provider', 'InvoiceDate']",Nationwide Towing Services,244522.65,2025-10-17,Vehicle tow away and impound services,3585
INV10007,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,48901.03,2028-09-26,Civil infrastructure services,3665
INV10008,['ContractNumber'],['InvoiceDate'],Showtime Event Group Pty Ltd,198594.2,2027-08-24,Melbourne Town Hall venue management,3670
INV10009,['ContractNumber'],['InvoiceDate'],Victorian YMCA Community Programming Pty Ltd,17811.84,2029-02-24,Management of Active Melbourne recreation facilities,3615
INV10010,['ContractNumber'],"['Provider', 'InvoiceDate']",Nationwide Towing Services,7206.87,2029-02-23,Vehicle tow away and impound services, 
INV10011,['ContractNumber'],"['Provider', 'InvoiceDate']",Citywide Service Solutions Pty Ltd,167819.85,2026-09-10,Open spaces management - region 1,3676
INV10012,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate', 'ContractTitle']",Citywide Service Solutions Pty Ltd,221488.41,2025-04-25,Civil infrastructure services,3665
INV10013,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Showtime Event Group Pty Ltd,121151.94,2027-04-27,Melbourne Town Hall venue management,3670
INV10014,['ContractNumber'],"['InvoiceAmount', 'InvoiceDate']",SERCO,69770.98,2028-01-05,Open spaces management - region 2,3677
INV10015,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Victorian YMCA Community Programming Pty Ltd,16492.49,2029-04-29,Management of Active Melbourne recreation facilities,3615
INV10016,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Calcorp Services Pty Ltd,104685.18,2026-10-06,Graffiti management and pressure cleaning services,3668
INV10017,['ContractNumber'],"['Provider', 'InvoiceAmount', 'InvoiceDate']",Programmed Facility Management Pty Ltd,44803.27,2025-05-03,Building maintenance services,3630
INV10018,['ContractNumber'],['Provider'],Programmed Facility Management Pty Ltd,216463.82,2029-02-02,Building maintenance services,3630
INV10019,['ContractNumber'],['Provider'],Victorian YMCA Community Programming Pty Ltd,143484.49,2025-01-14,Management of Active Melbourne recreation facilities,3615
