ds,ForecastSpend,yhat_lower,yhat_upper,Provider_Clean,ContractTitle_Clean,ContractNumber_Clean
2025-01-01,13118794.22206276,10635426.179960536,15774085.625653863,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-02-01,14353133.50761685,12118451.601356085,16912909.002951875,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-03-01,16346039.753260707,13815265.513736157,18925631.10402229,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-04-01,14811006.480342757,12449221.562741233,17421683.036487702,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-05-01,13370255.248325426,10873638.155722566,15845362.802984225,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-06-01,14867538.296629023,12451547.224049414,17292327.40405726,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-07-01,14264632.151161743,11742719.573073072,16819834.30104046,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-08-01,16183809.296932258,13694588.359031912,18565072.85790244,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-09-01,14438459.297502533,11976104.773444882,16929623.854425818,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-10-01,16377203.576964207,13975842.504749693,19159605.444250196,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-11-01,14872909.67754625,12493604.540106036,17312861.26065335,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2025-12-01,15389792.310845897,13052937.10892758,18148452.965595786,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-01-01,13019193.20344352,10361020.640008992,15731250.059772344,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-02-01,13539941.85902494,10761091.595639903,15994861.490771072,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-03-01,15427377.176407766,12876653.959505295,18177312.608851098,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-04-01,14795714.8081267,12399303.185325308,17381906.354563005,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-05-01,13695602.71154857,11252334.708407016,16084992.679240389,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-06-01,14915350.826121481,12325248.06454881,17480008.65034214,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-07-01,13708491.535364406,11238449.19053486,16201657.86736951,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-08-01,15297280.084060108,12748857.186154112,17632858.19054166,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-09-01,13481965.977887962,10830764.70335586,15955633.906209119,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-10-01,16243345.155013395,13784501.860126073,18610248.381110393,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-11-01,15569095.711859232,13146575.779797306,18052610.587809276,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2026-12-01,14889628.726796672,12513874.596553998,17421373.982004862,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-01-01,12905996.75418292,10351727.989179375,15425772.482663235,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
2027-02-01,12714182.858378217,10404863.417988295,15139318.859435612,Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668
