InvoiceID,ContractTitle,Provider,InvoiceAmount,InvoiceDate,ContractNumber
INV122001,Management of Active Melbourne recreation facilities,victorian ymca community programming pty ltd,"$5,214.14",2028-09-13,3615
INV122002,Civil infrastructure services,Citywide Service Solutions Pty Ltd,59218.04,15/10/2028,3665
INV122003,Open spaces management - region 1,Citywide Service Solutions Pty Ltd (AU),0.2m,13-Oct-2029,3676
INV122004,Parking technology services,ReinoInternationalPtyLtdT/ADuncanSolutions,25478.88,24 January 2028,3623
INV122005,Open spaces management - region 1,Citywide Service Solutions Pty Ltd (AUS),222874.04,15/09/2025,3676
INV122006,Graffiti management and pressure cleaning services,Calcorp Services Pty Ltd,0.2m,13-Nov-2027,3668
INV122007,Building maintenance services,Programmed Facility Management Pty Ltd (AUS),80364.0 AUD,28/10/11,3630
INV122008,Management of Active Melbourne recreation facilities,Victorian  YMCA  Community  Programming  Pty  Ltd,158773.59,27/09/25,3615
INV122009,Tree management maintenance services,Citywide Service Solutions P/L,,26/11/20,3678
INV122010,Waste management services,Cleanaway Waste M,0.1m,11/05/2029,3556
INV122011,Open spaces management - region 2,Serco,"$17,250.1",26/10/07,3677
INV122012,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,107225.99,05/09/2029,3670
INV122013,Melbourne Town Hall venue management,showtime event group pty ltd,0.2m,26/10/2027,3670
INV122014,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,33505.11,2025-10-21,3670
INV122015,Civil infrastructure services,Citywide,70525.52,28-Sep-2028,3665
INV122016,Tree management maintenance services,Citywide Service Solutions Pty Ltd,"$112,544.58",10/12/2025,3678
INV122017,Building maintenance services,Programmed Facility Management Pty Ltd (AU),"$20,414.84",25/02/05,3630
INV122018,Waste management services,Cleanaway Waste Management LTD,125893.65 AUD,15 April 2027,3556
INV122019,Management of Active Melbourne recreation facilities,Victorian YMCA Community Programming Pty. Ltd.,240842.62,2027-01-15,3615
INV122020,Vehicle tow away and impound services,Nationwide Touing Services,177459.23,26/07/2025,3585
INV122021,Integrated security services,National Protectiv,202325.4,07-Dec-2027,3686
INV122022,Integrated security services,National,234313.83,16/03/2026,3686
INV122023,Building maintenance services,programmed facility management pty ltd,,20/06/2026,3630
INV122024,Street cleaning,Spotless Facility Services Pty Ltd (AUS),28491.58,20/03/2026, 
INV122025,Graffiti management and pressure cleaning services,Calcorp Serv,0.1m,29-Mar-2028,3668
INV122026,Building cleaning services,Menzies International (Aust) Pty Ltd (AUS),242226.27,27/01/06,3634
INV122027,Graffiti management and pressure cleaning services,calcorp services pty ltd,64930.85 AUD,19 March 2026,3668
INV122028,Tree management maintenance services,CITYWIDE SERVICE SOLUTIONS PTY LTD,164507.76 AUD,01 May 2029,3678
INV122029,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd (AU),243800.25 AUD,12-May-2027,3670
INV122030,Integrated security services,National Protective Services Pty Ltd,27012.11,29/07/2025,3686
INV122031,Waste management services,CLEANAWAY WASTE MANAGEMENT LIMITED,244892.75 AUD,21/06/2025,3556
INV122032,Building maintenance services,Programmed Facility Management Pty Ltd (AUS),211376.31,2025-02-21,3630
INV122033,Melbourne Town Hall venue management,bhowtime Event Group Pty Ltd,"$162,603.39",28/08/2027,3670
INV122034,Melbourne Town Hall venue management,Showtime Event Group Pty Ltd,221665.08,28-Aug-2029,3670
INV122035,Building maintenance services,ProgrammedFacilityManagementPtyLtd,0.2m,29-Apr-2025,3630
INV122036,Open spaces management - region 2,serco,137773.62,2025-12-14,3677
INV122037,Open spaces management - region 2,SERCO (AU),0.0m,05-Oct-2027,3677
INV122038,Open spaces management - region 2,SERCO,0.2m,25/07/19,3677
INV122039,Open spaces management - region 2,SaRCO,0.1m,,3677
INV122040,Open spaces management - region 2,SERCO,64289.37,15/03/2027,3677
INV122041,Parking technology services,Reino  International  Pty  Ltd  T/A  Duncan  Solutions,0.2m,2025-05-30,3623
INV122042,Building maintenance services,Programmed Facility Management Pty Ltd (AU),137895.29,14/03/2025,3630
INV122043,Integrated security services,National Protective Services Pty Ltd,82716.79,25-Jan-2029,3686
