Provider_Clean,ContractTitle_Clean,ContractNumber_Clean,ds,ForecastSpend,yhat_lower,yhat_upper
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-01-01,29607118.44727828,23779019.73822004,35070579.64818896
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-02-01,32356032.670940395,26809679.525105435,37687500.26352736
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-03-01,36286032.77714791,30665415.01931408,41696612.53816428
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-04-01,35317028.632780604,29440881.111411784,40777909.68725301
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-05-01,33713024.131623864,27886157.150474094,39361162.69062538
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-06-01,33507758.030943505,27827617.430016577,39004617.27228718
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-07-01,35075187.05964333,29316317.934438683,40752293.040892735
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-08-01,35208481.65244979,29352362.68760552,40860983.229305774
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-09-01,33372016.801611867,27905978.56472481,39168953.65827191
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-10-01,36585222.72160108,30919330.18002592,42185220.32968163
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-11-01,35443574.49087548,29789482.49464757,41144464.39406271
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2025-12-01,36056667.748374425,30312410.35913417,41764898.329488695
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-01-01,29805618.64247302,24266979.882558893,35498879.117012195
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-02-01,31921216.09283706,26040043.12971957,37768924.08564751
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-03-01,34798727.20704971,29515400.529863782,40552051.96665605
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-04-01,35183513.20739927,29636883.19560852,40712598.011681534
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-05-01,33552332.739454877,28039664.387178317,38921028.17273654
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-06-01,33783803.206792295,27744063.782399982,39199200.18291949
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-07-01,33903705.58605704,27919817.03792527,39374415.9131286
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-08-01,33670241.744906366,27918188.75881464,39177040.56392821
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-09-01,32236604.48634167,26688788.919457883,38147009.5823347
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-10-01,37699652.04938867,32438631.99653905,43275423.75439911
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-11-01,35310070.68590551,29506596.86214914,41024996.37923392
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2026-12-01,34081221.96269158,28670566.561289355,39667720.09183565
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-01-01,30018963.04323577,24326481.507454444,35732737.813020214
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-02-01,31471108.25971429,25898730.84011488,37306669.43578534
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-03-01,33320316.93115438,27653339.75308213,38692248.77496687
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-04-01,35071337.35602454,29263555.226398576,40365043.814692914
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-05-01,33395951.423717864,27793228.55967276,39236658.29814554
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-06-01,34039735.61412452,27904157.67421185,39695781.52258109
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-07-01,32704876.0987539,26987104.51819609,38801166.9846752
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-08-01,32137142.43621425,26491658.391007222,37945495.86286562
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-09-01,31142270.60594102,25892149.209053617,36966352.41428624
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-10-01,38824301.92046126,32986418.11731212,44110490.495602936
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-11-01,35139884.392038405,29138368.436941627,40866356.55453696
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2027-12-01,32103569.343126778,26909260.856329422,37779381.591425605
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-01-01,30246698.611652404,24770420.162770607,35802796.42370548
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-02-01,31005625.72754401,25783107.695547637,36363888.36603868
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-03-01,35575243.26230003,30277944.34343038,40721977.15662485
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-04-01,33266199.23701489,27976825.18884876,39213645.60805238
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-05-01,31672822.3380946,26164831.89385408,37108565.69820541
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-06-01,31006524.4061176,25527626.418843128,36595770.03702408
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-07-01,34012430.77661155,28432263.297766905,39405020.29964324
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-08-01,34544321.77953909,28849582.49900855,40308941.87488567
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-09-01,32341929.82342693,26888705.57299341,38128443.7303017
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-10-01,33276938.58929264,27640487.58872593,38713427.82144035
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-11-01,33334995.116280127,27611474.54488401,38892361.82340723
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2028-12-01,35822507.576176435,30387560.759176936,41609119.65724657
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-01-01,27401082.521293715,21668965.19283424,32963715.8391748
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-02-01,30149996.59385239,24793128.800350923,35820552.53049169
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-03-01,34079996.56357232,28169187.55135673,39586785.77536181
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-04-01,33110992.2680948,27768211.980763223,39075267.15239274
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-05-01,31506987.62072731,25903453.106381197,37482666.70525579
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-06-01,31301721.367637902,25789696.82145984,36462682.35897038
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-07-01,32869150.24885201,27382197.451266557,38780258.1805394
Calcorp Services Pty Ltd,Graffiti management and pressure cleaning services,3668,2029-08-01,33002444.687980957,27479871.103469584,38108552.82104386
